             x                 y                 z              cell   
     0.00585938        0.00585938        0.00585938               524 
     0.00976562        0.00195312        0.00195312               525 
     0.00976562        0.00585938        0.00195312               526 
     0.00976562        0.00195312        0.00585938               527 
     0.00976562        0.00585938        0.00585938               528 
      0.0136719        0.00585938        0.00585938               529 
     0.00195312        0.00976562        0.00195312               530 
     0.00585938        0.00976562        0.00195312               531 
     0.00195312         0.0136719        0.00195312               532 
     0.00585938         0.0136719        0.00195312               533 
     0.00195312        0.00976562        0.00585938               534 
     0.00585938        0.00976562        0.00585938               535 
     0.00195312         0.0136719        0.00585938               536 
     0.00976562        0.00976562        0.00195312               537 
      0.0136719        0.00976562        0.00195312               538 
     0.00976562         0.0136719        0.00195312               539 
     0.00976562        0.00976562        0.00585938               540 
     0.00976562         0.0136719        0.00585938               541 
     0.00195312        0.00195312        0.00976562               542 
     0.00585938        0.00195312        0.00976562               543 
     0.00195312        0.00585938        0.00976562               544 
     0.00585938        0.00585938        0.00976562               545 
     0.00195312        0.00195312         0.0136719               546 
     0.00585938        0.00195312         0.0136719               547 
     0.00195312        0.00585938         0.0136719               548 
    -0.00292969       -0.00683594       -0.00488281               549 
   -0.000976562       -0.00683594       -0.00488281               550 
    -0.00292969       -0.00488281       -0.00488281               551 
   -0.000976562       -0.00488281       -0.00488281               552 
    -0.00292969       -0.00292969       -0.00683594               553 
   -0.000976562       -0.00292969       -0.00683594               554 
    -0.00292969      -0.000976562       -0.00683594               555 
   -0.000976562      -0.000976562       -0.00683594               556 
    -0.00292969       -0.00292969       -0.00488281               557 
   -0.000976562       -0.00292969       -0.00488281               558 
    -0.00292969      -0.000976562       -0.00488281               559 
   -0.000976562      -0.000976562       -0.00488281               560 
    -0.00292969       -0.00683594       -0.00292969               561 
   -0.000976562       -0.00683594       -0.00292969               562 
    -0.00292969       -0.00488281       -0.00292969               563 
   -0.000976562       -0.00488281       -0.00292969               564 
    -0.00292969       -0.00683594      -0.000976562               565 
   -0.000976562       -0.00683594      -0.000976562               566 
    -0.00292969       -0.00488281      -0.000976562               567 
   -0.000976562       -0.00488281      -0.000976562               568 
    -0.00683594       -0.00292969       -0.00292969               569 
    -0.00488281       -0.00292969       -0.00292969               570 
    -0.00683594      -0.000976562       -0.00292969               571 
    -0.00488281      -0.000976562       -0.00292969               572 
    -0.00683594       -0.00292969      -0.000976562               573 
    -0.00488281       -0.00292969      -0.000976562               574 
    -0.00683594      -0.000976562      -0.000976562               575 
    -0.00488281      -0.000976562      -0.000976562               576 
    -0.00292969       -0.00292969       -0.00292969               577 
   -0.000976562       -0.00292969       -0.00292969               578 
    -0.00292969      -0.000976562       -0.00292969               579 
   -0.000976562      -0.000976562       -0.00292969               580 
    -0.00292969       -0.00292969      -0.000976562               581 
   -0.000976562       -0.00292969      -0.000976562               582 
    -0.00292969      -0.000976562      -0.000976562               583 
   -0.000976562      -0.000976562      -0.000976562               584 
    0.000976562       -0.00292969       -0.00683594               585 
     0.00292969       -0.00292969       -0.00683594               586 
    0.000976562      -0.000976562       -0.00683594               587 
     0.00292969      -0.000976562       -0.00683594               588 
    0.000976562       -0.00292969       -0.00488281               589 
     0.00292969       -0.00292969       -0.00488281               590 
    0.000976562      -0.000976562       -0.00488281               591 
     0.00292969      -0.000976562       -0.00488281               592 
     0.00488281       -0.00292969       -0.00683594               593 
     0.00683594       -0.00292969       -0.00683594               594 
     0.00488281      -0.000976562       -0.00683594               595 
     0.00683594      -0.000976562       -0.00683594               596 
     0.00488281       -0.00292969       -0.00488281               597 
     0.00683594       -0.00292969       -0.00488281               598 
     0.00488281      -0.000976562       -0.00488281               599 
    0.000976562       -0.00683594       -0.00292969               600 
     0.00292969       -0.00683594       -0.00292969               601 
    0.000976562       -0.00488281       -0.00292969               602 
     0.00292969       -0.00488281       -0.00292969               603 
    0.000976562       -0.00683594      -0.000976562               604 
     0.00292969       -0.00683594      -0.000976562               605 
    0.000976562       -0.00488281      -0.000976562               606 
     0.00292969       -0.00488281      -0.000976562               607 
     0.00683594       -0.00683594       -0.00292969               608 
     0.00488281       -0.00488281       -0.00292969               609 
     0.00683594       -0.00488281       -0.00292969               610 
     0.00488281       -0.00683594      -0.000976562               611 
     0.00683594       -0.00683594      -0.000976562               612 
     0.00683594       -0.00488281      -0.000976562               613 
    0.000976562       -0.00292969       -0.00292969               614 
